"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-22","0.0",,"14.4",,"8.6"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-23",,,"17.6",,"10.6"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-24",,,"19.1",,"12.4"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-25",,,"20.0","28.8","14.1"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-26","0.0",,"21.4","30.6","14.2"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-27","0.0",,"21.7","30.3","16.6"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-28",,,"19.5","26.3",
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-29","0.0",,"17.3","23.9",
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-30",,,"16.7",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-01",,,"15.8","22.5","12.3"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-02",,,"16.3",,"12.9"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-03",,,"18.7",,"12.9"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-04",,,"17.1",,"13.3"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-05",,,"16.2",,"13.6"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-06","0.5",,"16.0","17.8","15.1"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-07","14.5",,"16.0","16.9","15.4"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-08","6.9",,"17.7",,"15.1"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-09","8.4",,"17.6","21.3","15.4"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-10","4.8",,"18.7","23.9","16.1"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-11","0.0",,"18.2",,"16.0"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-12","14.5",,"16.9","20.6",
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-13","0.0",,"15.9",,"10.8"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-14",,,"18.7",,"11.8"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-15",,,"22.4",,"15.0"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-16",,,"24.7","31.1","18.1"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-17",,,"24.1",,"18.1"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-18","0.8",,"24.7",,"19.4"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-19","0.0",,"23.3",,"19.8"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-20","0.5",,"21.5",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-21","0.0",,"20.7",,"16.9"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-22",,,"19.6",,"18.3"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-23",,,"20.4",,"18.5"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-24",,,"21.8",,"17.8"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-25","1.0",,"21.3",,"19.4"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-26","2.5",,"22.1",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-27","7.4",,"20.3",,"16.9"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-28","0.0",,"20.4",,"18.4"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-29","0.0",,"19.9",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-30","2.5",,"21.3",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-31","0.0",,"21.3",,"16.6"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-06-01",,,"22.5",,"18.3"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-06-02",,,"21.2",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-06-03",,,"20.6",,"15.3"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-06-04",,,"22.1",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-06-05","0.5",,"23.8",,"20.0"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-06-06","0.0",,"25.8",,"20.0"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-06-07","0.0",,"25.7",,"21.4"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-06-08","0.0",,"24.5",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-06-09",,,"25.6",,"19.5"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-06-10",,,"24.2",,"20.6"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-06-11","0.3",,"23.9",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-06-12","0.0",,"23.7",,"18.2"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-06-13",,,"22.9",,"17.2"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-06-14",,,"24.1",,"18.6"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-06-15","0.0",,"26.6",,"21.2"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-06-16","7.1",,"24.7",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-06-17","4.8",,"21.4",,"19.7"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-06-18","0.5",,"22.9",,"19.3"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-06-19","0.8",,"24.7",,"20.3"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-06-20","0.0",,"25.1",,"21.0"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-06-21",,,"24.9",,"21.7"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-06-22",,,"24.3",,"22.1"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-06-23",,,"22.9",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-06-24",,,"21.9",,"19.9"
