DATE,GENERAL_DAM_OCCUPANCY_RATE,GENERAL_DAM_RESERVED_WATER,PRCP,TAVG
2018-01-13,66.26,576,8.6,7.3
2018-01-14,66.6,579,2.0,4.7
2018-01-15,67.07,583,0.8,5.7
2018-01-16,67.27,584,0.0,8.7
2018-01-17,67.5,586,1.3,12.7
2018-01-18,68.0,591,4.6,7.2
2018-01-19,68.57,596,7.6,7.7
2018-01-20,68.51,595,0.0,11.1
2018-01-21,69.01,599,7.1,9.0
2018-01-22,70.22,610,3.0,8.2
2018-01-23,71.28,619,4.8,5.0
2018-01-24,72.26,628,0.0,4.0
2018-01-25,72.91,633,1.3,3.8
2018-01-26,73.27,636,0.8,3.3
2018-01-27,73.39,638,0.0,4.6
2018-01-28,73.58,639,0.0,5.1
2018-01-29,73.65,640,0.0,5.7
2018-01-30,73.67,640,0.0,8.1
2018-01-31,73.71,640,0.0,8.4
2018-02-01,73.63,640,0.0,10.9
2018-02-02,73.6,639,0.0,13.4
2018-02-03,73.63,640,0.0,14.5
2018-02-04,73.63,640,0.0,12.8
2018-02-05,74.71,649,17.5,7.9
2018-02-06,75.21,653,0.0,8.2
2018-02-07,75.38,655,0.0,9.7
2018-02-08,75.35,655,0.3,11.7
2018-02-09,75.65,657,3.6,10.4
2018-02-10,75.73,658,0.0,9.3
2018-02-11,75.9,659,7.1,8.6
2018-02-12,77.82,676,19.1,5.7
2018-02-13,78.6,683,0.0,7.9
2018-02-14,78.96,686,1.0,10.8
2018-02-15,79.29,689,0.0,9.1
2018-02-16,79.4,690,0.0,7.5
2018-02-17,79.47,690,0.3,7.2
2018-02-18,79.51,691,0.0,8.0
2018-02-19,79.63,692,0.0,7.6
2018-02-20,79.68,692,0.0,8.1
2018-02-21,79.91,694,0.0,9.3
2018-02-22,79.88,694,0.0,10.3
2018-02-23,79.96,695,0.0,8.2
2018-02-24,80.12,696,0.0,7.2
2018-02-25,80.48,699,17.0,5.5
2018-02-26,81.21,705,2.8,6.8
2018-02-27,82.13,713,5.8,4.4
2018-02-28,82.54,717,15.0,4.1
2018-03-01,85.3,741,17.8,1.4
2018-03-02,85.65,744,0.0,10.1
2018-03-03,85.89,746,3.0,11.9
2018-03-04,86.66,753,11.7,10.7
2018-03-05,87.93,764,4.3,8.9
2018-03-06,88.33,767,5.8,12.6
2018-03-07,89.24,775,7.6,15.5
2018-03-08,89.42,777,1.3,11.4
2018-03-09,90.25,784,22.1,9.9
2018-03-10,90.67,788,0.0,9.2
2018-03-11,90.57,787,0.0,10.6
2018-03-12,90.5,786,0.0,13.9
2018-03-13,90.33,785,0.5,14.2
2018-03-14,90.26,784,1.0,13.8
2018-03-15,90.23,784,0.5,10.9
2018-03-16,90.27,784,4.3,12.9
2018-03-17,90.21,784,0.0,17.6
2018-03-18,90.15,783,0.0,17.3
2018-03-19,90.19,783,1.0,10.2
2018-03-20,89.85,780,1.0,13.0
2018-03-21,89.99,782,0.0,15.0
2018-03-22,89.91,781,0.5,7.8
2018-03-23,89.61,778,0.3,9.7
2018-03-24,89.51,778,1.8,7.3
2018-03-25,89.56,778,8.1,8.9
2018-03-26,89.57,778,2.0,14.9
2018-03-27,89.62,778,2.8,13.4
2018-03-28,90.04,782,2.5,10.2
2018-03-29,89.84,780,2.5,7.4
2018-03-30,90.32,785,0.3,10.2
2018-03-31,90.43,786,0.0,15.2
2018-04-01,90.4,785,0.0,17.0
2018-04-02,90.56,787,13.7,12.6
2018-04-03,90.99,790,0.0,12.8
2018-04-04,91.04,791,0.0,12.9
2018-04-05,91.15,792,0.0,15.1
2018-04-06,91.2,792,0.0,15.5
2018-04-07,91.35,794,0.0,12.2
2018-04-08,91.23,793,0.0,11.8
2018-04-09,91.27,793,0.0,13.1
2018-04-10,91.3,793,0.0,14.5
2018-04-11,91.3,793,0.0,15.7
2018-04-12,91.31,793,0.0,18.5
2018-04-13,91.38,794,0.0,17.1
2018-04-14,91.4,794,0.0,12.6
2018-04-15,91.18,792,0.0,14.7
2018-04-16,91.17,792,0.0,15.0
2018-04-17,91.02,791,0.0,14.3
2018-04-18,90.83,789,0.0,13.4
2018-04-19,90.75,788,0.0,15.4
2018-04-20,90.57,787,2.8,12.9
2018-04-21,90.49,786,2.3,13.9
2018-04-22,90.31,785,0.0,14.4
2018-04-23,90.06,782,0.0,17.6
2018-04-24,89.98,782,0.0,19.1
2018-04-25,89.73,779,0.0,20.0
2018-04-26,89.59,778,0.0,21.4
